course_code	slug	target_lang	pricing_tier	voice	origin	clips	d_min	d_max	vpass	vfail	vnull	dangling
isl_for_eng	pod-0	isl	free	azure_is-IS-GunnarNeural	tts	1	2026-06-10	2026-06-10	0	0	1	0
isl_for_eng	pod-0	isl	free	azure_is-IS-GudrunNeural	tts	11	2026-06-10	2026-06-19	0	0	11	0
isl_for_eng	pod-0-unrecorded	isl	free	is-IS-GunnarNeural	tts	53	2026-06-01	2026-07-16	0	0	53	0
isl_for_eng	pod-0-unrecorded	isl	free	azure_is-IS-GudrunNeural	tts	5	2026-06-10	2026-06-11	0	0	5	0
isl_for_eng	pod-0-unrecorded	isl	free	is-IS-GudrunNeural	tts	37	2026-06-10	2026-07-16	0	0	37	0
ita_for_eng	pod-0	ita	premium	bcs7l2c3	tts	25	2026-06-08	2026-06-10	0	0	25	0
ita_for_eng	pod-0	ita	premium	x7avnu1k	tts	50	2026-06-08	2026-06-27	0	0	50	0
ita_for_eng	pod-0	ita	premium	eve	tts	43	2026-06-08	2026-06-19	0	0	43	0
ita_for_eng	pod-0	ita	premium	ara	tts	16	2026-06-10	2026-07-23	0	0	16	0
ita_for_eng	pod-0	ita	premium	xai_eve	tts	4	2026-06-10	2026-06-10	0	0	4	0
ita_for_eng	pod-0	ita	premium	hqxr4yub	tts	3	2026-06-10	2026-06-10	0	0	3	0
ita_for_eng	pod-0	ita	premium	xai_ara	tts	1	2026-06-10	2026-06-10	0	0	1	0
ita_for_eng	pod-0-unrecorded	ita	premium	eve	tts	36	2026-06-08	2026-06-19	0	0	36	0
ita_for_eng	pod-0-unrecorded	ita	premium	bcs7l2c3	tts	24	2026-06-08	2026-06-10	0	0	24	0
